symbol,date,dividends
JEPI,2020-07-01,0.494
JEPI,2020-08-03,0.29
JEPI,2020-09-01,0.453
JEPI,2020-10-01,0.435
JEPI,2020-11-02,0.515
JEPI,2020-12-01,0.5
JEPI,2020-12-30,0.543
JEPI,2021-02-01,0.263
JEPI,2021-03-01,0.321
JEPI,2021-04-01,0.348
JEPI,2021-05-03,0.374
JEPI,2021-06-01,0.314
JEPI,2021-07-01,0.395
JEPI,2021-08-02,0.257
JEPI,2021-09-01,0.339
JEPI,2021-10-01,0.343
JEPI,2021-11-01,0.366
JEPI,2021-12-01,0.383
JEPI,2021-12-30,0.459
JEPI,2022-02-01,0.382
JEPI,2022-03-01,0.462
JEPI,2022-04-01,0.588
JEPI,2022-05-02,0.468
JEPI,2022-06-01,0.516
JEPI,2022-07-01,0.621
JEPI,2022-08-01,0.495
JEPI,2022-09-01,0.559
JEPI,2022-10-03,0.481
JEPI,2022-11-01,0.606
JEPI,2022-12-01,0.61
JEPI,2022-12-29,0.573
JEPI,2023-02-01,0.444
JEPI,2023-03-01,0.411
JEPI,2023-04-03,0.445
JEPI,2023-05-01,0.425
JEPI,2023-06-01,0.365
JEPI,2023-07-03,0.359
JEPI,2023-08-01,0.29
JEPI,2023-09-01,0.338
JEPI,2023-10-02,0.363
JEPI,2023-11-01,0.359
JEPI,2023-12-01,0.39
JEPI,2023-12-28,0.428
JEPI,2024-02-01,0.301
JEPI,2024-03-01,0.301
